"","WindGustSpeed","WindSpeed9am","WindSpeed3pm","MinTemp","MaxTemp","TempRange","Temp9am","Temp3pm","Evaporation","Sunshine","Cloud9am","Cloud3pm","Rainfall","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","WindGustDir","WindDir9am","WindDir3pm","RainToday","RainTomorrow","Season","KmeansDF","KmeansScaled"
"1",26,6,15,10.3,25.2,14.9,14.9,24.6,1.4,9.5,0,1,0,81,37,1019.6,1014.8,"WNW","SSW","W","No","No","winter","4","3"
"2",30,15,19,8.1,22.9,14.8,16.2,22.4,2,9.8,0,0,0,41,30,1018.8,1015,"W","W","WNW","No","No","winter","1","3"
"3",22,7,15,9.7,22.4,12.7,15.4,21.3,5.8,9.4,1,4,0,55,52,1021.4,1019.1,"E","SW","E","No","No","winter","4","3"
"4",24,9,7,11.8,20,8.2,14.1,19.6,1.8,1.1,7,7,0.8,76,53,1023.5,1021.7,"SW","SW","SSE","No","No","winter","4","2"
"5",37,11,7,12.3,16.7,4.4,16.1,15,2,0.3,7,8,0,81,89,1027.3,1026.2,"S","S","SSW","No","Yes","winter","3","2"
"6",31,7,17,12.6,21.5,8.9,15.9,20,5.2,6.4,5,2,16.2,78,52,1028.5,1025.7,"ENE","SSW","E","Yes","No","winter","4","2"
"7",17,9,9,12.9,21.9,9,14.7,20.1,2.4,1.6,7,7,0,83,63,1026.9,1023.1,"NE","SW","NE","No","Yes","winter","4","2"
"8",31,7,2,14.5,17.4,2.9,14.7,17,2,0.6,8,6,24.2,94,73,1024,1019.3,"WSW","SW","NW","Yes","Yes","winter","3","2"
"9",43,13,19,6,16.7,10.7,12.4,16.2,1,11.7,1,1,3.8,48,34,1022.6,1020.2,"W","WSW","W","Yes","No","winter","1","3"
"10",39,17,17,10.3,19.7,9.4,13.2,18.8,4,10,0,1,0.2,47,34,1021.8,1017,"W","WSW","WSW","No","No","winter","1","3"
"11",28,11,9,6.6,19.6,13,14.2,18.7,4,7.9,7,7,0,48,38,1021.7,1019.4,"W","WSW","WSW","No","No","winter","1","3"
"12",30,7,15,7.9,21.1,13.2,12.8,19.3,2.2,8.1,1,6,0,60,48,1025.9,1023.4,"ENE","SW","E","No","No","winter","4","3"
"13",20,6,9,12,22.8,10.8,15.3,21.2,3,2.2,7,7,0,72,69,1026.6,1023.3,"ENE","SSW","ENE","No","No","winter","4","2"
"14",19,4,9,13.6,25.7,12.1,18.3,23.3,1,4.5,7,1,0,86,65,1025.3,1021,"N","SSW","NE","No","No","winter","4","2"
"15",31,9,9,16.7,24.8,8.1,19.1,23.4,1.2,5.9,5,6,0,80,65,1022.2,1018.7,"W","SSW","NNE","No","Yes","winter","4","2"
"16",19,2,4,16.5,18.9,2.4,17.1,18.7,2.6,0,8,8,5.4,93,71,1020.1,1017.8,"SW","WSW","WSW","Yes","Yes","winter","3","2"
"17",17,7,9,12.2,21.5,9.3,15.6,21.2,0.8,8.7,3,3,2.8,80,57,1020.6,1016.1,"WSW","SW","NE","Yes","No","winter","4","2"
"18",37,6,15,9.4,25.4,16,15.2,25,1.2,9.6,2,2,0,72,34,1017.3,1011.9,"WNW","SW","WNW","No","No","winter","1","3"
"19",33,2,15,6.8,22.9,16.1,15.4,22.4,3.2,9.8,0,0,0,55,25,1018.3,1015.7,"W","SW","WNW","No","No","winter","1","3"
"20",30,6,15,7.5,22.9,15.4,13.6,21.3,3.4,9,1,1,0,60,45,1020.6,1015.4,"NNE","SW","NNE","No","No","winter","4","3"
"21",35,6,15,12.5,22.8,10.3,17.4,18.7,2.2,3.3,8,7,0,83,54,1014.9,1013.8,"W","N","W","No","No","winter","4","2"
"22",33,7,15,12.1,20.4,8.3,16.6,18.7,3.6,7.5,1,8,0,48,52,1022.1,1021.3,"W","SW","E","No","No","winter","1","3"
