"","WindGustSpeed","WindSpeed9am","WindSpeed3pm","MinTemp","MaxTemp","TempRange","Temp9am","Temp3pm","Evaporation","Sunshine","Cloud9am","Cloud3pm","Rainfall","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","WindGustDir","WindDir9am","WindDir3pm","RainToday","RainTomorrow","Season","KmeansDF","KmeansScaled"
"1",31,7,13,25.2,32.3,7.1,31.2,30.7,4,6.4,5,7,0.4,62,66,1011.3,1008.1,"NE","E","ENE","No","Yes","wet","2","1"
"2",35,11,13,24.2,32.3,8.1,29,31.1,6.6,5.3,7,7,8.4,75,62,1011.9,1008,"NE","S","NE","Yes","No","wet","2","1"
"3",31,17,20,23.9,32.8,8.9,29.1,31.6,5.6,11.3,7,5,0.6,69,42,1012.2,1009.9,"SSE","SSE","E","No","No","wet","3","2"
"4",39,19,24,22.2,33.6,11.4,29.6,32.5,9.6,12.3,2,1,0,60,31,1013.3,1010.9,"SE","SSE","ESE","No","No","wet","3","2"
"5",43,22,26,23.2,33.5,10.3,29.7,32.2,11.6,11.8,4,2,0,64,56,1013.8,1011,"SE","SSE","ESE","No","No","wet","3","2"
"6",33,15,20,24.7,33.4,8.7,30.8,31.5,8.4,10.6,1,2,0,64,67,1012.7,1009.2,"NE","SE","NE","No","No","wet","2","2"
"7",28,7,17,23.9,32,8.1,29.3,30.6,8,9.2,2,3,0,70,73,1010.9,1007.1,"NNE","NW","NE","No","No","wet","2","2"
"8",30,13,15,26.6,33.2,6.6,31.3,31.7,8,7.2,6,4,0,65,69,1009.8,1005.8,"NNE","NW","NNE","No","Yes","wet","2","2"
"9",28,9,13,26.1,32.8,6.7,30.8,30.2,4.8,7.1,7,7,4.6,72,77,1009.5,1006.9,"NNE","NE","N","Yes","No","wet","2","1"
"10",28,15,11,26,32.6,6.6,28.9,29.5,5.8,4,7,7,0.2,80,72,1009.9,1007.5,"ENE","ESE","NNE","No","No","wet","2","1"
"11",33,15,22,25.3,32.9,7.6,30.4,31.4,5.4,12,3,4,0.4,64,57,1010.6,1006.6,"ENE","ENE","NE","No","No","wet","2","2"
"12",31,19,15,22.9,33.3,10.4,30.4,31.5,8.6,8.4,1,5,0,55,57,1010.5,1007.6,"ENE","SSE","S","No","No","wet","3","2"
"13",30,9,15,24.7,33,8.3,30.9,31.1,8,12.1,3,1,0,63,68,1009.5,1006.3,"NNE","SE","NE","No","No","wet","2","2"
"14",37,15,20,26.5,34.1,7.6,32.5,32.3,8,10.5,4,3,0,57,68,1007.2,1003.2,"N","WNW","NNE","No","Yes","wet","2","2"
"15",35,4,17,23.8,32.9,9.1,26.3,30.5,11.8,7.2,7,5,31.8,79,74,1008.8,1005,"S","SW","N","Yes","No","wet","1","1"
"16",41,11,19,25.5,33.9,8.4,30.8,31.5,5,7,6,5,0.2,64,59,1009.8,1007.4,"SSE","SSE","SE","No","No","wet","2","2"
"17",37,17,11,25.1,32.6,7.5,30.6,28,7.4,5.5,4,7,0,64,77,1011,1008.9,"ENE","SSE","N","No","Yes","wet","2","1"
"18",28,7,13,23.8,31.7,7.9,28.9,30.2,5,7.8,6,4,3.6,69,70,1010.7,1007.7,"SSE","S","NNE","Yes","No","wet","2","1"
"19",24,9,9,25.3,32.4,7.1,28.7,29.9,4.2,1.6,7,7,0,71,69,1008.6,1006.8,"N","W","NE","No","No","wet","2","1"
"20",26,9,15,25.2,32.1,6.9,30.2,31.1,4.4,3.8,7,7,0,70,72,1008.4,1006.6,"N","NW","NNE","No","No","wet","2","1"
"21",35,13,24,23,33.1,10.1,29.5,32.4,4.8,9.8,5,2,0,68,63,1009.8,1007.3,"NE","SSE","NE","No","No","wet","2","2"
