"Date","ID","Year","Month","Day","Location","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","TempRange","MaxTemp","MinTemp","Rainfall","monthID","Season"
2008-12-01,87201,"2008","diciembre",1,"Cairns",4,6.4,"NE",31,"E","ENE",7,13,62,66,1011.3,1008.1,5,7,31.2,30.7,"No","Yes",7.1,32.3,25.2,0.4,"2008-diciembre","wet"
2008-12-02,87202,"2008","diciembre",2,"Cairns",6.6,5.3,"NE",35,"S","NE",11,13,75,62,1011.9,1008,7,7,29,31.1,"Yes","No",8.1,32.3,24.2,8.4,"2008-diciembre","wet"
2008-12-03,87203,"2008","diciembre",3,"Cairns",5.6,11.3,"SSE",31,"SSE","E",17,20,69,42,1012.2,1009.9,7,5,29.1,31.6,"No","No",8.9,32.8,23.9,0.6,"2008-diciembre","wet"
2008-12-04,87204,"2008","diciembre",4,"Cairns",9.6,12.3,"SE",39,"SSE","ESE",19,24,60,31,1013.3,1010.9,2,1,29.6,32.5,"No","No",11.4,33.6,22.2,0,"2008-diciembre","wet"
2008-12-05,87205,"2008","diciembre",5,"Cairns",11.6,11.8,"SE",43,"SSE","ESE",22,26,64,56,1013.8,1011,4,2,29.7,32.2,"No","No",10.3,33.5,23.2,0,"2008-diciembre","wet"
2008-12-06,87206,"2008","diciembre",6,"Cairns",8.4,10.6,"NE",33,"SE","NE",15,20,64,67,1012.7,1009.2,1,2,30.8,31.5,"No","No",8.7,33.4,24.7,0,"2008-diciembre","wet"
2008-12-07,87207,"2008","diciembre",7,"Cairns",8,9.2,"NNE",28,"NW","NE",7,17,70,73,1010.9,1007.1,2,3,29.3,30.6,"No","No",8.1,32,23.9,0,"2008-diciembre","wet"
2008-12-08,87208,"2008","diciembre",8,"Cairns",8,7.2,"NNE",30,"NW","NNE",13,15,65,69,1009.8,1005.8,6,4,31.3,31.7,"No","Yes",6.6,33.2,26.6,0,"2008-diciembre","wet"
2008-12-09,87209,"2008","diciembre",9,"Cairns",4.8,7.1,"NNE",28,"NE","N",9,13,72,77,1009.5,1006.9,7,7,30.8,30.2,"Yes","No",6.7,32.8,26.1,4.6,"2008-diciembre","wet"
2008-12-10,87210,"2008","diciembre",10,"Cairns",5.8,4,"ENE",28,"ESE","NNE",15,11,80,72,1009.9,1007.5,7,7,28.9,29.5,"No","No",6.6,32.6,26,0.2,"2008-diciembre","wet"
2008-12-11,87211,"2008","diciembre",11,"Cairns",5.4,12,"ENE",33,"ENE","NE",15,22,64,57,1010.6,1006.6,3,4,30.4,31.4,"No","No",7.6,32.9,25.3,0.4,"2008-diciembre","wet"
2008-12-12,87212,"2008","diciembre",12,"Cairns",8.6,8.4,"ENE",31,"SSE","S",19,15,55,57,1010.5,1007.6,1,5,30.4,31.5,"No","No",10.4,33.3,22.9,0,"2008-diciembre","wet"
2008-12-13,87213,"2008","diciembre",13,"Cairns",8,12.1,"NNE",30,"SE","NE",9,15,63,68,1009.5,1006.3,3,1,30.9,31.1,"No","No",8.3,33,24.7,0,"2008-diciembre","wet"
2008-12-14,87214,"2008","diciembre",14,"Cairns",8,10.5,"N",37,"WNW","NNE",15,20,57,68,1007.2,1003.2,4,3,32.5,32.3,"No","Yes",7.6,34.1,26.5,0,"2008-diciembre","wet"
2008-12-15,87215,"2008","diciembre",15,"Cairns",11.8,7.2,"S",35,"SW","N",4,17,79,74,1008.8,1005,7,5,26.3,30.5,"Yes","No",9.1,32.9,23.8,31.8,"2008-diciembre","wet"
2008-12-16,87216,"2008","diciembre",16,"Cairns",5,7,"SSE",41,"SSE","SE",11,19,64,59,1009.8,1007.4,6,5,30.8,31.5,"No","No",8.4,33.9,25.5,0.2,"2008-diciembre","wet"
2008-12-17,87217,"2008","diciembre",17,"Cairns",7.4,5.5,"ENE",37,"SSE","N",17,11,64,77,1011,1008.9,4,7,30.6,28,"No","Yes",7.5,32.6,25.1,0,"2008-diciembre","wet"
2008-12-18,87218,"2008","diciembre",18,"Cairns",5,7.8,"SSE",28,"S","NNE",7,13,69,70,1010.7,1007.7,6,4,28.9,30.2,"Yes","No",7.9,31.7,23.8,3.6,"2008-diciembre","wet"
2008-12-19,87219,"2008","diciembre",19,"Cairns",4.2,1.6,"N",24,"W","NE",9,9,71,69,1008.6,1006.8,7,7,28.7,29.9,"No","No",7.1,32.4,25.3,0,"2008-diciembre","wet"
2008-12-20,87220,"2008","diciembre",20,"Cairns",4.4,3.8,"N",26,"NW","NNE",9,15,70,72,1008.4,1006.6,7,7,30.2,31.1,"No","No",6.9,32.1,25.2,0,"2008-diciembre","wet"
2008-12-21,87221,"2008","diciembre",21,"Cairns",4.8,9.8,"NE",35,"SSE","NE",13,24,68,63,1009.8,1007.3,5,2,29.5,32.4,"No","No",10.1,33.1,23,0,"2008-diciembre","wet"
2008-12-22,87222,"2008","diciembre",22,"Cairns",7.4,10.7,"E",35,"ESE","NNE",15,17,63,56,1011.1,1009.3,5,2,30.6,31.8,"No","Yes",8.1,33.4,25.3,0.2,"2008-diciembre","wet"
2008-12-23,87223,"2008","diciembre",23,"Cairns",7.6,4.8,"unkn",43,"SSE","ESE",17,28,79,60,1011.7,1008.8,7,6,26.9,30,"Yes","No",8.2,32.3,24.1,10.8,"2008-diciembre","wet"
2008-12-24,87224,"2008","diciembre",24,"Cairns",6.2,9.7,"E",37,"SE","ESE",15,26,62,50,1011.4,1007.9,6,7,29,31.5,"No","No",7.2,32.7,25.5,0,"2008-diciembre","wet"
2008-12-25,87225,"2008","diciembre",25,"Cairns",7.4,12.1,"ENE",35,"SSE","E",13,26,56,51,1010,1007.5,2,3,29.2,32.1,"No","No",11.5,33.3,21.8,0,"2008-diciembre","wet"
2008-12-26,87226,"2008","diciembre",26,"Cairns",9.4,10.2,"SSE",41,"SSE","SE",19,26,61,47,1009.9,1006.6,7,8,29.4,32.2,"No","Yes",10.5,33.9,23.4,0,"2008-diciembre","wet"
2008-12-27,87227,"2008","diciembre",27,"Cairns",11,3.2,"S",37,"NW","ENE",7,11,92,72,1009.3,1005.8,7,7,26.2,30.2,"Yes","Yes",6.6,31.1,24.5,17.4,"2008-diciembre","wet"
2008-12-28,87228,"2008","diciembre",28,"Cairns",3.6,1,"NE",26,"WSW","N",13,13,94,79,1008.4,1005.2,8,7,24.3,28.8,"Yes","Yes",6.1,30.2,24.1,26.8,"2008-diciembre","wet"
2008-12-29,87229,"2008","diciembre",29,"Cairns",2.6,5.3,"NNE",28,"calm","N",0,17,78,73,1007.7,1004.6,8,7,28.3,29.5,"Yes","No",7.2,31.4,24.2,35,"2008-diciembre","wet"
2008-12-30,87230,"2008","diciembre",30,"Cairns",5,6,"N",28,"WNW","N",6,13,65,75,1007.2,1004.1,3,7,30.4,29.2,"No","Yes",6.2,31.9,25.7,0,"2008-diciembre","wet"
2008-12-31,87231,"2008","diciembre",31,"Cairns",8.2,2.3,"N",37,"WNW","NW",9,17,88,94,1007.3,1005.5,7,8,26.1,26,"Yes","Yes",6.9,30.1,23.2,54.8,"2008-diciembre","wet"
2009-01-01,87232,"2009","enero",1,"Cairns",4.6,3.4,"NNE",28,"E","N",4,19,77,70,1008.1,1005.6,7,6,28,30.1,"Yes","Yes",7.8,31.4,23.6,15.8,"2009-enero","wet"
2009-01-02,87233,"2009","enero",2,"Cairns",5.6,10.6,"NNE",28,"SE","NNE",9,11,68,70,1008.8,1006.8,3,6,30.1,30.5,"Yes","No",8.1,31.6,23.5,1.2,"2009-enero","wet"
2009-01-03,87234,"2009","enero",3,"Cairns",5.6,8.7,"NE",30,"SE","NE",9,13,68,70,1009.4,1007,7,7,30.8,30.2,"No","No",6.6,31.6,25,0,"2009-enero","wet"
2009-01-04,87235,"2009","enero",4,"Cairns",5.4,8,"ENE",28,"S","S",13,19,81,76,1009.3,1006.6,7,7,27.8,28.5,"No","No",7.3,32.7,25.4,0.4,"2009-enero","wet"
2009-01-05,87236,"2009","enero",5,"Cairns",5.4,2.9,"SE",33,"SSE","S",13,13,78,87,1008.4,1005.7,7,7,27.8,27,"No","Yes",6.5,31.6,25.1,0.8,"2009-enero","wet"
2009-01-06,87237,"2009","enero",6,"Cairns",4,8.8,"SE",35,"ESE","SE",2,24,80,63,1008.8,1004.4,8,8,28.1,31.1,"Yes","No",8.1,32.4,24.3,7.4,"2009-enero","wet"
2009-01-07,87238,"2009","enero",7,"Cairns",6.2,3,"S",30,"W","S",9,7,71,68,1007.8,1004.2,7,7,28.4,30.3,"No","No",7,32.4,25.4,0,"2009-enero","wet"
2009-01-08,87239,"2009","enero",8,"Cairns",4.4,6.8,"NE",31,"W","SW",9,6,71,67,1005.9,1003.2,8,7,29,30.3,"No","No",6.7,31.4,24.7,0.2,"2009-enero","wet"
2009-01-09,87240,"2009","enero",9,"Cairns",4.8,0.2,"S",44,"S","E",17,11,91,86,1005.3,1001.9,8,8,24.9,27.2,"No","Yes",4.9,29.6,24.7,0.6,"2009-enero","wet"
2009-01-10,87241,"2009","enero",10,"Cairns",8.8,0,"S",35,"SSE","NE",9,13,96,93,1005,1003,8,8,24.1,24.8,"Yes","Yes",5.5,27.6,22.1,68.2,"2009-enero","wet"
2009-01-11,87242,"2009","enero",11,"Cairns",2.8,0,"SSE",39,"S","ESE",17,13,74,66,1006.7,1005.4,7,8,25.5,27.2,"Yes","Yes",5.7,28.7,23,47,"2009-enero","wet"
2009-01-12,87243,"2009","enero",12,"Cairns",3.6,0,"NW",59,"SSE","NNW",17,11,96,98,1003.5,999.6,8,8,24.7,25.3,"Yes","Yes",5.1,27.4,22.3,278.4,"2009-enero","wet"
2009-01-13,87244,"2009","enero",13,"Cairns",6.4,6.2,"N",39,"NNW","N",20,13,77,67,1002.7,1001.2,5,6,27,28.7,"Yes","No",7.5,30.2,22.7,140.2,"2009-enero","wet"
2009-01-14,87245,"2009","enero",14,"Cairns",6,11.7,"NE",30,"SE","NE",11,15,69,66,1006.9,1005.5,1,1,28.9,30.2,"No","No",7.2,30.9,23.7,0,"2009-enero","wet"
2009-01-15,87246,"2009","enero",15,"Cairns",6.2,9.9,"WSW",28,"ENE","NNE",6,13,73,69,1010.2,1008.7,3,7,29,30,"No","Yes",7.3,31.6,24.3,0,"2009-enero","wet"
2009-01-16,87247,"2009","enero",16,"Cairns",6.4,6.3,"ENE",33,"ESE","SSE",9,15,73,89,1011.7,1010.2,3,8,29.8,26.8,"Yes","Yes",6.9,31.4,24.5,10.4,"2009-enero","wet"
2009-01-17,87248,"2009","enero",17,"Cairns",5.8,7.3,"NNE",28,"SE","NNE",9,11,77,68,1011.6,1008.2,6,6,28.4,30.5,"Yes","Yes",7.3,31.4,24.1,12.8,"2009-enero","wet"
2009-01-18,87249,"2009","enero",18,"Cairns",4.6,4,"ESE",35,"SSE","ESE",15,19,81,58,1011.4,1008.8,7,7,27.6,31.5,"Yes","Yes",7.3,32.2,24.9,1.8,"2009-enero","wet"
2009-01-19,87250,"2009","enero",19,"Cairns",1.8,2.5,"SE",43,"SE","ESE",13,28,80,62,1012.3,1008.6,8,7,26.1,30.7,"Yes","Yes",8.1,30.9,22.8,102.2,"2009-enero","wet"
