"ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
12068,2009-01-01,"2009","January",1,"Moree",16.4,38.7,0,12.2,9.3,"NW",54,"N","WNW",15,28,27,11,1005.5,1003.3,6,8,28.9,37.4,"No","No"
12069,2009-01-02,"2009","January",2,"Moree",22.3,30.3,0,11.2,3,"NNE",30,"NNE","N",19,15,68,40,1009.5,1009,6,7,25.2,29.4,"No","No"
12070,2009-01-03,"2009","January",3,"Moree",21.2,33.3,0,6.2,11.7,"ENE",46,"ENE","ENE",22,22,57,31,1014.9,1012.2,6,5,24.5,32.7,"No","No"
12071,2009-01-04,"2009","January",4,"Moree",16.4,33.5,0,11.2,13.3,"ENE",39,"NE","ENE",20,20,51,28,1016.9,1012.2,1,3,22.9,31.9,"No","No"
12072,2009-01-05,"2009","January",5,"Moree",19.2,34.5,0,12.6,13.4,"SE",35,"ENE","S",19,11,44,22,1015.1,1010.6,1,6,24.2,32.9,"No","No"
12073,2009-01-06,"2009","January",6,"Moree",21.3,36.8,0,10.8,12.4,"SSE",33,"NNE","NE",24,9,54,26,1013.6,1009.1,1,5,25.4,34.6,"No","No"
12074,2009-01-07,"2009","January",7,"Moree",22.2,34.5,0,10,7.6,"NNE",39,"NNE","N",26,7,56,23,1012.7,1008.5,7,7,25.2,32.5,"No","No"
12075,2009-01-08,"2009","January",8,"Moree",23.7,36.4,0,8.6,7.7,"ENE",46,"NNE","ENE",24,9,46,31,1009.6,1007,7,5,26.3,34.3,"No","No"
12076,2009-01-09,"2009","January",9,"Moree",20.4,34.3,0,12,6.8,"SSW",69,"E","SE",26,7,53,31,1011.2,1008,5,5,26.3,32.1,"No","Yes"
12077,2009-01-10,"2009","January",10,"Moree",16,32.1,9.2,9.8,9.6,"SW",76,"calm","N",0,9,51,29,1012,1007.3,2,5,21.1,30.4,"Yes","Yes"
12078,2009-01-11,"2009","January",11,"Moree",18.2,33,3.4,8.6,11.8,"SW",76,"NNE","NNE",24,13,56,37,1011.2,1008,1,5,22.5,30.3,"Yes","No"
12079,2009-01-12,"2009","January",12,"Moree",21.5,34.6,0,8,9.8,"ENE",41,"NNE","NE",26,11,55,26,1013.3,1010.1,5,5,25.5,33.7,"No","No"
12080,2009-01-13,"2009","January",13,"Moree",21.2,35.9,0,10.4,13.1,"ENE",43,"ENE","E",19,15,47,19,1016.3,1012.3,1,3,25.4,34.3,"No","No"
12081,2009-01-14,"2009","January",14,"Moree",19.5,35,0,13.4,13.2,"NE",39,"NE","NE",24,11,47,24,1016.8,1012.7,1,1,24.3,33,"No","No"
12082,2009-01-15,"2009","January",15,"Moree",20.5,36.1,0,12.2,13.2,"NNE",43,"NNE","NNE",30,11,48,24,1015.5,1011.4,0,1,24.4,33.2,"No","No"
12083,2009-01-16,"2009","January",16,"Moree",21.1,40.1,0,12.8,12.9,"WSW",48,"N","NW",22,17,32,15,1011.5,1007.6,2,3,28.1,38.2,"No","No"
12084,2009-01-17,"2009","January",17,"Moree",15,35.6,0,16.8,13.3,"E",57,"SSE","WSW",9,24,32,11,1011.7,1009.4,0,1,25.6,34.2,"No","No"
12085,2009-01-18,"2009","January",18,"Moree",18.5,33.3,0,13.8,12.2,"ENE",48,"NE","E",24,11,51,36,1018.1,1014.4,5,4,22.4,30.7,"No","No"
12086,2009-01-19,"2009","January",19,"Moree",19.7,31.6,0,12.2,3.7,"NE",52,"NE","N",30,17,52,35,1017.8,1013.4,8,8,22.5,30.7,"No","No"
12087,2009-01-20,"2009","January",20,"Moree",22.1,33.6,0,10.4,5.2,"NNE",44,"NNE","N",30,11,48,29,1016.6,1012.7,7,6,24.6,32.2,"No","No"
12088,2009-01-21,"2009","January",21,"Moree",23.8,32.5,0,8.8,0.7,"SSW",76,"NE","N",28,11,54,36,1014.8,1011.7,8,8,25.1,31.3,"No","Yes"
12089,2009-01-22,"2009","January",22,"Moree",20.5,24.5,47.6,9.2,0,"NNE",48,"NE","NNE",26,31,97,95,1012.4,1009.3,8,8,21.1,22.5,"Yes","Yes"
12090,2009-01-23,"2009","January",23,"Moree",21.1,32.1,23,1.6,6.8,"NE",22,"NNE","N",13,9,86,54,1011.4,1008.7,7,5,24.3,31.2,"Yes","No"
12091,2009-01-24,"2009","January",24,"Moree",23.2,35.5,0,5.2,10.9,"NNE",28,"N","WNW",15,11,79,47,1010.1,1007.4,5,7,27,34.2,"No","No"
12092,2009-01-25,"2009","January",25,"Moree",24.4,36,0,8,9,"SW",57,"NNE","NNE",13,37,68,48,1011.1,1009.5,5,5,28.8,32.7,"No","Yes"
12093,2009-01-26,"2009","January",26,"Moree",22.7,34.4,5.4,7.2,13.1,"SE",43,"NE","ESE",22,9,69,46,1015.7,1012.8,2,5,27,33.3,"Yes","No"
12094,2009-01-27,"2009","January",27,"Moree",21.3,33.4,0,8.8,13.2,"ENE",44,"E","E",20,13,53,38,1017.3,1014.2,1,4,26.7,31.1,"No","No"
12095,2009-01-28,"2009","January",28,"Moree",20.3,33.7,0,10.2,13.1,"NE",41,"ENE","ESE",13,15,58,36,1016.2,1013,1,3,25.9,31.5,"No","No"
12096,2009-01-29,"2009","January",29,"Moree",19.1,33.6,0,10,13.2,"E",61,"E","ENE",17,13,56,28,1016.9,1013.1,0,1,24.9,32.4,"No","No"
12097,2009-01-30,"2009","January",30,"Moree",20.2,33.6,0,10,13,"NE",48,"ENE","NNE",24,20,54,33,1017,1012.7,0,4,24.5,31.5,"No","No"
12098,2009-01-31,"2009","January",31,"Moree",19.6,33.7,0,10.8,13,"E",44,"ENE","E",19,17,59,28,1017.4,1013.2,1,2,25.1,32.9,"No","No"
12099,2009-02-01,"2009","February",1,"Moree",19.5,35.1,0,9.8,11.8,"ENE",48,"NE","ESE",17,17,56,32,1015,1010.9,7,6,25.4,33.2,"No","No"
12100,2009-02-02,"2009","February",2,"Moree",21.1,33.4,0,12.6,11.3,"NE",33,"E","NE",22,9,54,40,1012.9,1008.9,7,7,26.5,31.4,"No","No"
12101,2009-02-03,"2009","February",3,"Moree",20.4,34.7,0,8,11.4,"ENE",52,"NNE","ESE",17,15,57,32,1010.4,1006.7,2,3,24.8,33,"No","No"
12102,2009-02-04,"2009","February",4,"Moree",20.3,35,0,8.4,12.3,"NNE",37,"NE","ESE",24,7,61,36,1008.9,1005.8,1,2,26,32.8,"No","No"
12103,2009-02-05,"2009","February",5,"Moree",22.1,36.8,0,9.6,12.6,"NNE",35,"NNE","SSE",17,17,60,29,1008.9,1005.5,0,1,25.4,34.3,"No","No"
12104,2009-02-06,"2009","February",6,"Moree",22.8,37.4,0,10.2,12.3,"NNE",33,"N","SSE",17,13,63,22,1010.4,1008.1,1,1,25.9,35.1,"No","No"
12105,2009-02-07,"2009","February",7,"Moree",19.7,36.1,0,11.6,12.8,"ENE",44,"NE","ENE",20,15,55,22,1014.4,1010.4,1,0,24.8,34.3,"No","No"
12106,2009-02-08,"2009","February",8,"Moree",19.8,36.1,0,11.2,12.9,"N",30,"N","NE",19,7,63,25,1012.4,1008.4,0,0,24,34,"No","No"
12107,2009-02-09,"2009","February",9,"Moree",20,40.5,0,10.6,12.7,"W",31,"ENE","W",11,9,33,13,1008.9,1005.4,0,1,28,38.2,"No","No"
12108,2009-02-10,"2009","February",10,"Moree",27.3,37.6,0,12.8,1.9,"N",59,"NNE","NNW",28,22,42,24,1007.1,1003.5,7,7,29.5,36.9,"No","Yes"
12109,2009-02-11,"2009","February",11,"Moree",20.8,31.9,7,9.8,12.1,"WSW",48,"WSW","WSW",11,24,47,23,1006.1,1005.1,1,0,23.2,30.8,"Yes","No"
12110,2009-02-12,"2009","February",12,"Moree",16.1,33.4,0,10.2,12.3,"NE",54,"E","N",26,11,53,22,1010.5,1007.6,1,7,23,32.1,"No","No"
12111,2009-02-13,"2009","February",13,"Moree",19.4,25.5,0,9.8,3.8,"E",69,"E","E",30,39,59,57,1014.9,1013,4,7,22.3,22.1,"No","Yes"
12112,2009-02-14,"2009","February",14,"Moree",16.6,20,29.2,8.2,0.4,"E",56,"SE","ESE",24,39,93,85,1011.9,1009.2,8,6,17.8,19.8,"Yes","Yes"
12113,2009-02-15,"2009","February",15,"Moree",16.9,25.5,51.4,7.4,3.8,"SE",37,"E","WSW",15,13,93,67,1007.8,1006.9,7,6,18,23.7,"Yes","No"
12114,2009-02-16,"2009","February",16,"Moree",17.9,28.4,0,3.6,8.3,"ESE",57,"E","ESE",13,39,70,53,1009.5,1006.8,7,6,21.2,27,"No","Yes"
12115,2009-02-17,"2009","February",17,"Moree",17.4,27.9,55.8,13.6,8.2,"E",35,"ESE","E",24,4,94,56,1008.9,1007.5,7,5,18.5,26.3,"Yes","No"
12116,2009-02-18,"2009","February",18,"Moree",18.5,30,0,4,10.4,"SW",52,"NE","N",13,7,74,55,1008.3,1004.3,2,3,24.1,29.1,"No","No"
12117,2009-02-19,"2009","February",19,"Moree",19.4,31.4,0,6,12.5,"W",28,"NE","WSW",13,15,79,49,1007.7,1005.8,2,5,23.3,30.9,"No","No"
12118,2009-02-20,"2009","February",20,"Moree",19.6,31.8,0,5.4,10.3,"E",33,"N","NW",11,9,78,55,1010.2,1008.3,2,7,25.2,30.1,"No","No"
12119,2009-02-21,"2009","February",21,"Moree",19.7,32.4,0,6.6,10.9,"SSW",48,"NE","ENE",13,9,78,48,1011.3,1008.7,2,1,23.2,30.4,"No","No"
12120,2009-02-22,"2009","February",22,"Moree",19.8,32.6,0,6.6,12.3,"ENE",41,"ENE","ENE",20,9,67,40,1013.9,1012.1,1,3,24,31,"No","No"
12121,2009-02-23,"2009","February",23,"Moree",19.1,32.1,0,7.8,12.3,"ENE",33,"E","N",17,9,68,37,1016.2,1013.4,0,3,23.7,31.2,"No","No"
12122,2009-02-24,"2009","February",24,"Moree",19.6,32.4,0,7.4,11.6,"NNE",30,"NNE","NNE",15,13,65,39,1016.7,1014,1,3,23.3,30.9,"No","No"
12123,2009-02-25,"2009","February",25,"Moree",21.9,31.6,0,7.6,8.6,"SSE",46,"N","NW",15,7,68,46,1016.4,1012.9,8,7,23.9,30,"No","No"
12124,2009-02-26,"2009","February",26,"Moree",17.8,32.8,0,7.2,12.3,"E",31,"E","SE",24,11,65,39,1015.8,1012.2,1,2,22.9,31.3,"No","No"
12125,2009-02-27,"2009","February",27,"Moree",18.6,30.7,0,7.8,12,"E",37,"E","NW",19,11,56,40,1015.5,1012.1,2,3,22,29.1,"No","No"
12126,2009-02-28,"2009","February",28,"Moree",14.2,33.6,0,8.6,11.9,"N",39,"N","NW",26,15,69,27,1012.3,1008.8,4,1,21.6,31.5,"No","No"
12127,2009-03-01,"2009","March",1,"Moree",18.4,35.5,0,6.6,10.6,"SSW",37,"calm","WSW",0,20,48,24,1010.4,1008.1,5,3,25,34.6,"No","No"
12128,2009-03-02,"2009","March",2,"Moree",16.3,34.6,0,9.8,6.4,"SSW",28,"ENE","WSW",13,9,32,16,1012.1,1010.7,5,7,24.8,33.9,"No","No"
12129,2009-03-03,"2009","March",3,"Moree",19.3,35.4,0,7,9.6,"N",33,"E","N",20,9,70,33,1014.7,1011.7,7,4,23.8,34.2,"No","No"
12130,2009-03-04,"2009","March",4,"Moree",23.8,34.2,0,8.4,5.5,"WSW",59,"NNE","NNW",31,9,57,41,1011.7,1007.6,6,5,25.5,33.5,"No","No"
12131,2009-03-05,"2009","March",5,"Moree",10.9,26.2,0,11,11.6,"SW",57,"SSW","SW",26,28,39,25,1014,1010.5,0,0,17.2,25.3,"No","No"
12132,2009-03-06,"2009","March",6,"Moree",10.5,27.5,0,9.2,11.8,"WSW",31,"S","WSW",4,15,47,27,1013.1,1010.4,0,0,17.5,26.5,"No","No"
12133,2009-03-07,"2009","March",7,"Moree",10.7,30.9,0,6.8,11.8,"ENE",28,"ENE","N",17,9,54,19,1013.5,1010.6,1,1,17.9,29.7,"No","No"
12134,2009-03-08,"2009","March",8,"Moree",14.7,32.6,0,9,11.8,"ENE",43,"NE","ENE",20,9,64,28,1013.7,1010.9,0,3,23.7,31.9,"No","No"
12135,2009-03-09,"2009","March",9,"Moree",17.9,32.5,0,8,10.8,"ENE",50,"ESE","ESE",19,20,52,27,1016.6,1012.1,2,3,23.5,31.6,"No","No"
12136,2009-03-10,"2009","March",10,"Moree",17.1,31.8,0,9.6,11.5,"E",52,"SE","E",22,19,50,33,1016,1012.7,3,3,24,30.9,"No","No"
