"","WindGustSpeed","WindSpeed9am","WindSpeed3pm","MinTemp","MaxTemp","TempRange","Temp9am","Temp3pm","Evaporation","Sunshine","Cloud9am","Cloud3pm","Rainfall","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","WindGustDir","WindDir9am","WindDir3pm","RainToday","RainTomorrow","Season","KmeansDF","KmeansScaled"
"1",20,0,7,2.7,18.8,16.1,8.5,18.1,0.8,9.1,2,3,0,97,53,1027.6,1024.5,"ENE","calm","E","No","No","winter","4","1"
"2",22,6,9,6.4,20.7,14.3,11.1,19.7,1.8,7,0,6,0,80,39,1024.1,1019,"NE","ESE","ENE","No","No","winter","4","1"
"3",31,0,4,6.5,19.9,13.4,12.1,17.7,2.2,7.3,1,3,0.4,84,71,1016.8,1015.6,"NE","calm","WNW","No","Yes","winter","1","1"
"4",26,11,6,9.5,19.2,9.7,13.2,17.7,1.2,4.7,6,6,1.8,93,73,1019.3,1018.4,"W","NNE","NNW","Yes","Yes","winter","1","1"
"5",44,13,17,9.5,16.4,6.9,15.9,16,1.4,4.9,7,5,1.8,69,57,1020.4,1022.1,"WSW","W","SW","Yes","Yes","winter","1","3"
"6",24,4,7,0.7,15.9,15.2,6.9,15.5,2.4,9.3,0,1,6.8,86,41,1032,1029.6,"NNE","ENE","NE","Yes","No","winter","4","1"
"7",37,15,13,0.7,18.3,17.6,8.7,17.9,0.8,9.3,1,5,0,72,36,1028.9,1024.2,"N","NE","NNE","No","No","winter","4","1"
"8",24,9,13,3.2,20.4,17.2,10.2,19.3,1.4,6.9,6,5,0,58,42,1023.9,1021.1,"NNW","NE","N","No","Yes","winter","4","1"
"9",31,0,9,9.8,19.5,9.7,12.1,18.7,1.2,2.5,7,6,8,97,64,1026.4,1024.9,"ESE","calm","ESE","Yes","Yes","winter","1","1"
"10",46,19,11,11.2,20.4,9.2,13.4,19,2.8,1.7,7,7,4.6,79,50,1020.2,1014,"NNW","NE","NNE","Yes","Yes","winter","1","3"
"11",54,26,13,13.4,17.1,3.7,15.4,14.8,2.6,4.2,4,7,2.6,63,77,1014.7,1015.2,"SW","SW","SW","Yes","Yes","winter","1","3"
"12",19,7,9,7.9,17.3,9.4,9.6,16.2,2.2,5.4,6,7,4.4,99,59,1019,1018.7,"SSW","N","SSW","Yes","No","winter","4","1"
"13",17,7,7,5.3,18.8,13.5,9.5,17.2,1,2.3,7,6,0.2,96,63,1025.1,1024.1,"N","NE","W","No","No","winter","4","1"
"14",31,11,15,7.9,19.7,11.8,11.7,18.7,0.2,6.5,6,5,0,86,41,1026,1021.9,"NE","NE","N","No","No","winter","4","1"
"15",43,22,15,9,17.1,8.1,15.8,14.9,2.2,0.8,5,8,0,62,90,1010.4,1008.1,"NNE","N","W","No","Yes","winter","1","3"
"16",44,19,13,10.2,17.1,6.9,13.2,15.9,1.8,6.7,6,3,24,76,54,1013.8,1014.8,"SW","SW","WSW","Yes","Yes","winter","1","3"
"17",46,9,9,6.7,16.9,10.2,10.5,14.4,1.2,3.9,2,7,2.6,87,75,1015.1,1010.1,"WSW","NE","NNW","Yes","Yes","winter","1","3"
"18",76,22,30,10.4,17.9,7.5,16.8,13.9,2,3.2,5,6,20.6,57,50,1002.3,1002.2,"NW","NW","W","Yes","Yes","winter","2","3"
"19",37,0,17,3.3,14.3,11,8,13.9,1.8,9.4,1,1,15.2,95,49,1022.9,1023.1,"SSE","calm","S","Yes","No","winter","4","1"
"20",20,7,6,1.2,17,15.8,7.5,15.6,1.8,7.8,1,6,0,97,52,1030.1,1028.5,"NE","NE","SSE","No","No","winter","4","1"
"21",28,2,6,3.1,17.1,14,9.1,16.6,1.2,4.7,6,5,0,94,49,1031.1,1027.4,"NNE","NE","E","No","No","winter","4","1"
"22",37,11,15,3.3,18.9,15.6,8.9,17.9,1.2,7.5,7,7,0,80,40,1024.8,1020.2,"NE","NE","N","No","No","winter","4","1"
"23",43,15,7,8.9,17.4,8.5,14.9,14.9,2.8,0,7,8,0,68,97,1013.6,1013.2,"N","N","NNW","No","Yes","winter","1","3"
"24",33,7,15,9.3,18.3,9,15.6,17.4,3.8,8.3,3,4,19.2,65,57,1018,1017.6,"W","WNW","WSW","Yes","No","winter","4","3"
"25",28,7,19,7.4,17,9.6,12.1,14,2.6,1.9,7,8,0,84,88,1017.7,1014.1,"NE","E","SW","No","Yes","winter","1","3"
"26",52,4,2,7.8,19.3,11.5,9,19.2,1.8,9.4,1,2,12.6,99,50,1017.8,1015.2,"SE","E","N","Yes","Yes","winter","1","1"
"27",39,11,11,9,20.8,11.8,13.4,18.3,2,1.3,8,7,4,94,87,1009.7,1007.9,"NNE","NE","W","Yes","Yes","winter","1","3"
"28",44,11,15,11.8,15.9,4.1,14.6,14.7,1.6,2.2,7,7,5.4,97,81,1008.2,1007.5,"WSW","N","W","Yes","Yes","winter","1","3"
"29",39,7,11,9.7,18,8.3,12.5,15.3,2,3.7,5,7,11.6,93,86,1012.3,1008.4,"WNW","NNE","WNW","Yes","Yes","winter","1","3"
"30",54,19,24,12.4,16.2,3.8,14.4,15,3.2,5.7,4,6,30.6,61,45,1005.1,1005.5,"WSW","W","W","Yes","Yes","winter","2","3"
"31",37,4,9,6.7,14.1,7.4,9.1,13.2,4.2,0,2,6,3,97,76,1015.2,1017,"SW","NNE","SSW","Yes","Yes","winter","1","1"
"32",30,11,11,7.8,18.1,10.3,11.8,15,1,2,7,7,7.8,82,86,1021.6,1018.3,"N","NNE","N","Yes","Yes","winter","1","1"
"33",46,22,20,11.2,17.5,6.3,14.7,15.6,0.6,8.2,1,3,18.2,57,51,1017.3,1018,"SW","SW","SSW","Yes","No","winter","2","3"
"34",24,6,15,4.7,17.1,12.4,11.2,16.4,2.6,9.7,3,3,0.2,70,50,1027.5,1026.5,"S","NNE","S","No","No","winter","4","1"
"35",22,6,6,2.1,19.4,17.3,9.7,19.2,2,9.8,1,1,0,78,39,1033.2,1030.5,"NE","ENE","NE","No","No","winter","4","1"
"36",20,7,7,2.2,20.3,18.1,9.6,18.9,2.6,10,1,1,0,84,40,1034,1030.5,"NE","ENE","SE","No","No","winter","4","1"
"37",22,0,13,2.3,20.7,18.4,10.7,19.1,2.2,9.9,5,5,0,74,42,1030.7,1026.4,"WSW","calm","WSW","No","No","winter","4","1"
"38",24,11,9,4.3,17.3,13,11.7,16.7,2.2,3.9,5,5,0,75,58,1029.1,1027.6,"ESE","SE","ESE","No","No","winter","4","1"
"39",31,11,13,7,17.6,10.6,11.4,17.3,2,10,1,2,0,64,41,1031.7,1028.3,"ENE","E","ENE","No","No","winter","4","1"
"40",46,17,15,8.1,18,9.9,11.6,17.7,4.2,9.9,1,3,0,63,42,1030,1026.4,"ESE","E","E","No","No","winter","4","2"
"41",39,13,19,9.1,18.7,9.6,12.6,18.5,4.4,9.2,6,2,0,52,41,1028.6,1024.7,"NNE","ENE","ENE","No","No","winter","2","2"
"42",30,9,9,7.6,20.4,12.8,11,20.3,4.2,9,6,1,0,57,33,1026.9,1023.5,"E","E","SE","No","No","winter","4","1"
"43",28,11,15,4.9,17.5,12.6,11.7,16.9,4,7.2,3,5,0,57,34,1030.4,1027.9,"SE","E","ESE","No","No","winter","4","1"
"44",31,7,11,5.8,19.7,13.9,12.2,18.9,3,9.9,1,1,0,59,27,1031.8,1028.7,"NNE","E","E","No","No","winter","4","1"
"45",33,13,13,3.3,21.3,18,13.3,20.3,3.4,10,0,1,0,49,25,1030.1,1026.4,"NE","NE","ENE","No","No","winter","3","2"
"46",30,11,9,3.3,23.1,19.8,11.9,22.2,4.4,10.2,6,2,0,53,21,1028.1,1025.1,"NNW","NE","SW","No","No","winter","3","2"
"47",30,13,9,3.1,23.9,20.8,14.9,23.6,2.4,10.5,0,4,0,39,17,1029.5,1027.6,"NNE","NE","NW","No","No","winter","3","2"
"48",28,15,7,2.5,24.2,21.7,14.7,22.9,3.4,10.5,0,1,0,41,21,1032.5,1029.9,"N","NE","WSW","No","No","winter","3","2"
"49",39,13,17,1.8,22.5,20.7,13.2,22.1,3.8,10.4,0,3,0,44,11,1029.5,1025.8,"NNW","NNE","WNW","No","No","winter","3","2"
"50",30,4,11,5.5,18.2,12.7,11.7,17,4,0.2,7,7,0,77,75,1025.9,1024.4,"SE","SSE","SSE","No","No","winter","1","1"
"51",37,19,19,6.9,17.4,10.5,10.9,16.6,1,10.2,1,4,0.2,57,38,1034,1031.9,"E","SE","SE","No","No","winter","4","2"
"52",43,15,15,8.5,17.6,9.1,12.3,17,4.6,10.2,7,1,0,55,35,1038,1034.3,"ESE","E","ESE","No","No","winter","4","2"
"53",41,7,17,5.5,19.1,13.6,11.5,18.7,3,10.5,2,2,0,58,33,1034.8,1029.3,"NE","E","ENE","No","No","winter","4","2"
"54",31,19,9,3.4,21.4,18,13.3,21,4.4,10.5,1,1,0,44,28,1026.6,1021.8,"NE","NE","NE","No","No","winter","3","2"
"55",22,0,9,3.8,21.3,17.5,12.8,18.6,3.4,6,7,7,0,51,55,1018.8,1016.6,"SW","calm","SW","No","No","winter","4","1"
"56",30,6,15,5,20.1,15.1,12.8,18.8,1.6,10.3,3,4,0,79,59,1022.4,1020.8,"SSW","E","SSW","No","No","winter","4","1"
"57",22,11,11,6.8,21.2,14.4,12.1,20.6,3.2,10.4,1,0,0,67,42,1024.8,1019.5,"E","E","ESE","No","No","winter","4","2"
"58",30,9,9,8.7,24.1,15.4,16,23.2,5.4,9.2,1,3,0,53,37,1017.3,1013.1,"NNE","ENE","ENE","No","No","winter","2","2"
"59",26,7,13,7.1,21.7,14.6,12.6,20.2,3.2,6.3,5,6,0,79,57,1014.9,1011.6,"SSW","NNE","WSW","No","Yes","winter","4","1"
"60",41,7,20,9.5,18.7,9.2,14.7,16.8,2,9,3,4,1.2,81,54,1014,1013.3,"SSW","SSE","SW","Yes","No","winter","1","3"
"61",35,13,19,3.8,16.9,13.1,11.7,15.9,3.6,9.9,1,4,0.2,52,41,1023.1,1022.4,"SW","SE","SW","No","No","winter","2","2"
"62",30,7,15,8.7,18.5,9.8,12.3,16.9,3.2,1,7,7,0,68,51,1025.1,1022.7,"WSW","N","W","No","Yes","winter","4","1"
"63",20,7,9,10.9,18.9,8,12.5,18.9,2.6,3.8,7,6,3.4,97,61,1024.8,1023.1,"SSE","NNE","SW","Yes","No","spring","4","1"
"64",22,6,6,5.4,22.9,17.5,14.1,21.1,2.8,10.7,1,3,0.2,81,43,1024.9,1022,"SW","E","WSW","No","No","spring","4","1"
"65",28,9,17,8.1,25.5,17.4,17.2,24.1,3.6,10.4,1,5,0,54,26,1023.1,1020.2,"SW","ENE","WSW","No","No","spring","3","2"
"66",39,15,19,11.3,19.4,8.1,15.2,18.6,3.8,9.8,1,2,0,62,47,1022.5,1018.9,"SSW","S","SW","No","Yes","spring","2","2"
"67",41,11,24,9.8,21.6,11.8,15,19.5,4.2,10.6,1,1,1.2,69,57,1021.9,1018.8,"SW","S","SW","Yes","No","spring","2","2"
"68",28,11,17,9.7,19.4,9.7,13.4,18.7,4.6,10.7,1,0,0,58,32,1024.1,1021.5,"SSE","SE","SSE","No","No","spring","4","2"
"69",35,9,11,5.7,20.1,14.4,13.5,19.2,4.4,10.5,1,1,0,57,41,1026,1021.9,"SSW","ENE","SW","No","No","spring","4","2"
"70",30,7,15,5.3,22.4,17.1,13.9,20.7,5.6,10.1,6,5,0,61,37,1022.8,1018.1,"SW","E","SW","No","No","spring","4","2"
"71",30,4,17,4.6,21.3,16.7,14.1,20.4,2.8,10.6,1,1,0,68,44,1018.7,1016.4,"SW","NNE","WSW","No","No","spring","4","2"
"72",31,7,17,7.7,18.9,11.2,13.4,18.1,3.6,2.9,7,6,0,79,46,1017.7,1015.6,"NW","NW","WNW","No","No","spring","4","1"
"73",46,19,20,13.4,20.5,7.1,17.3,18.9,2.6,7,3,4,0.8,71,62,1014.1,1012.5,"WSW","WSW","WSW","No","No","spring","1","3"
"74",52,11,19,15.2,20.9,5.7,17,15.9,4.4,3.3,7,6,0.4,60,87,1011.4,1007.9,"WNW","W","NW","No","Yes","spring","1","3"
"75",59,17,17,11.8,17.6,5.8,14,17.1,4.2,5.2,5,7,6,73,55,1013.5,1014.6,"SW","SW","SW","Yes","No","spring","1","3"
"76",54,22,26,13.6,19.6,6,16.3,18.6,5.2,4.7,7,6,0,64,57,1015.5,1016,"WSW","W","SW","No","Yes","spring","2","3"
"77",26,9,9,6.2,20.3,14.1,14.1,19.8,2.8,8.6,5,6,1.2,55,34,1023,1019.1,"N","E","NNE","Yes","No","spring","4","1"
"78",30,6,15,4.7,22.5,17.8,15.6,20.9,2.2,10.3,1,1,0,50,38,1012.2,1008,"WSW","NNE","WSW","No","Yes","spring","2","2"
"79",41,17,13,11.6,19,7.4,16,16.2,4.4,5.4,7,5,8.2,90,83,1007.8,1010.4,"SSW","W","WSW","Yes","Yes","spring","1","3"
"80",56,22,20,13.2,20,6.8,18.9,19.5,4,5.5,5,4,1.8,58,67,1010.8,1011.8,"WNW","NW","W","Yes","Yes","spring","2","3"
"81",44,19,19,13.8,20.5,6.7,17.2,19,2.6,4,7,6,4,56,51,1016.8,1017.4,"WSW","W","W","Yes","No","spring","2","3"
"82",31,11,11,9.5,21.7,12.2,18.6,21,3,7.3,5,6,0.2,58,51,1021.2,1018.3,"NW","W","WNW","No","Yes","spring","2","1"
"83",67,17,20,13,17,4,16.9,13.6,4.8,4.4,7,5,3.4,77,51,1010.4,1016.5,"SW","W","S","Yes","Yes","spring","1","3"
"84",37,9,13,1,19,18,11.2,17.9,1.6,11.1,0,1,5.4,57,34,1028.8,1024.8,"E","ENE","SE","Yes","No","spring","4","2"
"85",50,19,17,5.7,23.5,17.8,16.5,23,3.4,9.3,1,6,0,39,23,1022.8,1016.9,"NE","NE","NNE","No","No","spring","3","2"
"86",50,15,26,11.3,25.5,14.2,21.5,22,5.2,9.9,1,2,0,36,67,1011.5,1010.3,"WNW","N","NW","No","Yes","spring","2","2"
"87",39,0,13,15.2,16.5,1.3,16.3,14.4,5.6,0,8,7,21,93,92,1010.5,1010.6,"N","calm","S","Yes","Yes","spring","1","3"
"88",33,13,15,10.2,18.2,8,14.3,17.2,2.2,1.3,6,7,14.2,71,57,1016.5,1014.6,"SSW","ESE","S","Yes","No","spring","1","3"
"89",33,9,20,7.6,18.9,11.3,13.7,18,2,3.9,7,6,0,57,43,1023.8,1022.4,"WSW","N","WSW","No","No","spring","4","1"
"90",28,15,15,12.3,21.6,9.3,17.6,20.4,2.6,9.7,2,2,0.2,70,54,1024.4,1021.4,"SW","NNE","WSW","No","No","spring","4","2"
"91",33,2,13,8.2,24.6,16.4,17.6,23.5,3.8,11,1,1,0,67,37,1018.1,1011.3,"WSW","N","W","No","Yes","spring","4","2"
