"","ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"84008",84008,2008-07-01,"2008","julio",1,"Brisbane",10.3,25.2,0,1.4,9.5,"WNW",26,"SSW","W",6,15,81,37,1019.6,1014.8,0,1,14.9,24.6,"No","No"
"84009",84009,2008-07-02,"2008","julio",2,"Brisbane",8.1,22.9,0,2,9.8,"W",30,"W","WNW",15,19,41,30,1018.8,1015,0,0,16.2,22.4,"No","No"
"84010",84010,2008-07-03,"2008","julio",3,"Brisbane",9.7,22.4,0,5.8,9.4,"E",22,"SW","E",7,15,55,52,1021.4,1019.1,1,4,15.4,21.3,"No","No"
"84011",84011,2008-07-04,"2008","julio",4,"Brisbane",11.8,20,0.8,1.8,1.1,"SW",24,"SW","SSE",9,7,76,53,1023.5,1021.7,7,7,14.1,19.6,"No","No"
"84012",84012,2008-07-05,"2008","julio",5,"Brisbane",12.3,16.7,0,2,0.3,"S",37,"S","SSW",11,7,81,89,1027.3,1026.2,7,8,16.1,15,"No","Yes"
"84013",84013,2008-07-06,"2008","julio",6,"Brisbane",12.6,21.5,16.2,5.2,6.4,"ENE",31,"SSW","E",7,17,78,52,1028.5,1025.7,5,2,15.9,20,"Yes","No"
"84014",84014,2008-07-07,"2008","julio",7,"Brisbane",12.9,21.9,0,2.4,1.6,"NE",17,"SW","NE",9,9,83,63,1026.9,1023.1,7,7,14.7,20.1,"No","Yes"
"84015",84015,2008-07-08,"2008","julio",8,"Brisbane",14.5,17.4,24.2,2,0.6,"WSW",31,"SW","NW",7,2,94,73,1024,1019.3,8,6,14.7,17,"Yes","Yes"
"84016",84016,2008-07-09,"2008","julio",9,"Brisbane",6,16.7,3.8,1,NA,"W",43,"WSW","W",13,19,48,34,1022.6,1020.2,1,1,12.4,16.2,"Yes","No"
"84017",84017,2008-07-10,"2008","julio",10,"Brisbane",10.3,19.7,0.2,4,10,"W",39,"WSW","WSW",17,17,47,34,1021.8,1017,0,1,13.2,18.8,"No","No"
"84018",84018,2008-07-11,"2008","julio",11,"Brisbane",6.6,19.6,0,4,7.9,"W",28,"WSW","WSW",11,9,48,38,1021.7,1019.4,7,7,14.2,18.7,"No","No"
"84019",84019,2008-07-12,"2008","julio",12,"Brisbane",7.9,21.1,0,2.2,8.1,"ENE",30,"SW","E",7,15,60,48,1025.9,1023.4,1,6,12.8,19.3,"No","No"
"84020",84020,2008-07-13,"2008","julio",13,"Brisbane",12,22.8,0,3,2.2,"ENE",20,"SSW","ENE",6,9,72,69,1026.6,1023.3,7,7,15.3,21.2,"No","No"
"84021",84021,2008-07-14,"2008","julio",14,"Brisbane",13.6,25.7,0,1,4.5,"N",19,"SSW","NE",4,9,86,65,1025.3,1021,7,1,18.3,23.3,"No","No"
"84022",84022,2008-07-15,"2008","julio",15,"Brisbane",16.7,24.8,0,1.2,5.9,"W",31,"SSW","NNE",9,9,80,65,1022.2,1018.7,5,6,19.1,23.4,"No","Yes"
"84023",84023,2008-07-16,"2008","julio",16,"Brisbane",16.5,18.9,5.4,2.6,0,"SW",19,"WSW","WSW",2,4,93,71,1020.1,1017.8,8,8,17.1,18.7,"Yes","Yes"
"84024",84024,2008-07-17,"2008","julio",17,"Brisbane",12.2,21.5,2.8,0.8,8.7,"WSW",17,"SW","NE",7,9,80,57,1020.6,1016.1,3,3,15.6,21.2,"Yes","No"
"84025",84025,2008-07-18,"2008","julio",18,"Brisbane",9.4,25.4,0,1.2,9.6,"WNW",37,"SW","WNW",6,15,72,34,1017.3,1011.9,2,2,15.2,25,"No","No"
"84026",84026,2008-07-19,"2008","julio",19,"Brisbane",6.8,22.9,0,3.2,9.8,"W",33,"SW","WNW",2,15,55,25,1018.3,1015.7,0,0,15.4,22.4,"No","No"
"84027",84027,2008-07-20,"2008","julio",20,"Brisbane",7.5,22.9,0,3.4,9,"NNE",30,"SW","NNE",6,15,60,45,1020.6,1015.4,1,1,13.6,21.3,"No","No"
"84028",84028,2008-07-21,"2008","julio",21,"Brisbane",12.5,22.8,0,2.2,3.3,"W",35,"N","W",6,15,83,54,1014.9,1013.8,8,7,17.4,18.7,"No","No"
"84029",84029,2008-07-22,"2008","julio",22,"Brisbane",12.1,20.4,0,3.6,7.5,"W",33,"SW","E",7,15,48,52,1022.1,1021.3,1,8,16.6,18.7,"No","No"
"84030",84030,2008-07-23,"2008","julio",23,"Brisbane",12.5,15.7,0.2,4.4,0,"SSE",26,"SW","S",6,7,73,77,1026.7,1023.1,8,8,12.7,15.2,"No","Yes"
"84031",84031,2008-07-24,"2008","julio",24,"Brisbane",12.4,14.3,12.6,0.6,0,"S",28,"SSW",NA,9,NA,92,NA,1021,NA,8,8,12.9,NA,"Yes","Yes"
"84032",84032,2008-07-25,"2008","julio",25,"Brisbane",12.5,18.9,22.4,0.6,1.9,"SW",28,"WSW","SW",9,11,86,67,1014.8,1014.1,8,6,13.8,17.9,"Yes","No"
