"","ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"87201",87201,2008-12-01,"2008","diciembre",1,"Cairns",25.2,32.3,0.4,4,6.4,"NE",31,"E","ENE",7,13,62,66,1011.3,1008.1,5,7,31.2,30.7,"No","Yes"
"87202",87202,2008-12-02,"2008","diciembre",2,"Cairns",24.2,32.3,8.4,6.6,5.3,"NE",35,"S","NE",11,13,75,62,1011.9,1008,7,7,29,31.1,"Yes","No"
"87203",87203,2008-12-03,"2008","diciembre",3,"Cairns",23.9,32.8,0.6,5.6,11.3,"SSE",31,"SSE","E",17,20,69,42,1012.2,1009.9,7,5,29.1,31.6,"No","No"
"87204",87204,2008-12-04,"2008","diciembre",4,"Cairns",22.2,33.6,0,9.6,12.3,"SE",39,"SSE","ESE",19,24,60,31,1013.3,1010.9,2,1,29.6,32.5,"No","No"
"87205",87205,2008-12-05,"2008","diciembre",5,"Cairns",23.2,33.5,0,11.6,11.8,"SE",43,"SSE","ESE",22,26,64,56,1013.8,1011,4,2,29.7,32.2,"No","No"
"87206",87206,2008-12-06,"2008","diciembre",6,"Cairns",24.7,33.4,0,8.4,10.6,"NE",33,"SE","NE",15,20,64,67,1012.7,1009.2,1,2,30.8,31.5,"No","No"
"87207",87207,2008-12-07,"2008","diciembre",7,"Cairns",23.9,32,0,8,9.2,"NNE",28,"NW","NE",7,17,70,73,1010.9,1007.1,2,3,29.3,30.6,"No","No"
"87208",87208,2008-12-08,"2008","diciembre",8,"Cairns",26.6,33.2,0,8,7.2,"NNE",30,"NW","NNE",13,15,65,69,1009.8,1005.8,6,4,31.3,31.7,"No","Yes"
"87209",87209,2008-12-09,"2008","diciembre",9,"Cairns",26.1,32.8,4.6,4.8,7.1,"NNE",28,"NE","N",9,13,72,77,1009.5,1006.9,7,7,30.8,30.2,"Yes","No"
"87210",87210,2008-12-10,"2008","diciembre",10,"Cairns",26,32.6,0.2,5.8,4,"ENE",28,"ESE","NNE",15,11,80,72,1009.9,1007.5,7,7,28.9,29.5,"No","No"
"87211",87211,2008-12-11,"2008","diciembre",11,"Cairns",25.3,32.9,0.4,5.4,12,"ENE",33,"ENE","NE",15,22,64,57,1010.6,1006.6,3,4,30.4,31.4,"No","No"
"87212",87212,2008-12-12,"2008","diciembre",12,"Cairns",22.9,33.3,0,8.6,8.4,"ENE",31,"SSE","S",19,15,55,57,1010.5,1007.6,1,5,30.4,31.5,"No","No"
"87213",87213,2008-12-13,"2008","diciembre",13,"Cairns",24.7,33,0,8,12.1,"NNE",30,"SE","NE",9,15,63,68,1009.5,1006.3,3,1,30.9,31.1,"No","No"
"87214",87214,2008-12-14,"2008","diciembre",14,"Cairns",26.5,34.1,0,8,10.5,"N",37,"WNW","NNE",15,20,57,68,1007.2,1003.2,4,3,32.5,32.3,"No","Yes"
"87215",87215,2008-12-15,"2008","diciembre",15,"Cairns",23.8,32.9,31.8,11.8,7.2,"S",35,"SW","N",4,17,79,74,1008.8,1005,7,5,26.3,30.5,"Yes","No"
"87216",87216,2008-12-16,"2008","diciembre",16,"Cairns",25.5,33.9,0.2,5,7,"SSE",41,"SSE","SE",11,19,64,59,1009.8,1007.4,6,5,30.8,31.5,"No","No"
"87217",87217,2008-12-17,"2008","diciembre",17,"Cairns",25.1,32.6,0,7.4,5.5,"ENE",37,"SSE","N",17,11,64,77,1011,1008.9,4,7,30.6,28,"No","Yes"
"87218",87218,2008-12-18,"2008","diciembre",18,"Cairns",23.8,31.7,3.6,5,7.8,"SSE",28,"S","NNE",7,13,69,70,1010.7,1007.7,6,4,28.9,30.2,"Yes","No"
"87219",87219,2008-12-19,"2008","diciembre",19,"Cairns",25.3,32.4,0,4.2,1.6,"N",24,"W","NE",9,9,71,69,1008.6,1006.8,7,7,28.7,29.9,"No","No"
"87220",87220,2008-12-20,"2008","diciembre",20,"Cairns",25.2,32.1,0,4.4,3.8,"N",26,"NW","NNE",9,15,70,72,1008.4,1006.6,7,7,30.2,31.1,"No","No"
"87221",87221,2008-12-21,"2008","diciembre",21,"Cairns",23,33.1,0,4.8,9.8,"NE",35,"SSE","NE",13,24,68,63,1009.8,1007.3,5,2,29.5,32.4,"No","No"
"87222",87222,2008-12-22,"2008","diciembre",22,"Cairns",25.3,33.4,0.2,7.4,10.7,"E",35,"ESE","NNE",15,17,63,56,1011.1,1009.3,5,2,30.6,31.8,"No","Yes"
"87223",87223,2008-12-23,"2008","diciembre",23,"Cairns",24.1,32.3,10.8,7.6,4.8,NA,NA,"SSE","ESE",17,28,79,60,1011.7,1008.8,7,6,26.9,30,"Yes","No"
"87224",87224,2008-12-24,"2008","diciembre",24,"Cairns",25.5,32.7,0,6.2,9.7,"E",37,"SE","ESE",15,26,62,50,1011.4,1007.9,6,7,29,31.5,"No","No"
"87225",87225,2008-12-25,"2008","diciembre",25,"Cairns",21.8,33.3,0,7.4,12.1,"ENE",35,"SSE","E",13,26,56,51,1010,1007.5,2,3,29.2,32.1,"No","No"
"87226",87226,2008-12-26,"2008","diciembre",26,"Cairns",23.4,33.9,0,9.4,10.2,"SSE",41,"SSE","SE",19,26,61,47,1009.9,1006.6,7,8,29.4,32.2,"No","Yes"
"87227",87227,2008-12-27,"2008","diciembre",27,"Cairns",24.5,31.1,17.4,11,3.2,"S",37,"NW","ENE",7,11,92,72,1009.3,1005.8,7,7,26.2,30.2,"Yes","Yes"
"87228",87228,2008-12-28,"2008","diciembre",28,"Cairns",24.1,30.2,26.8,NA,1,"NE",26,"WSW","N",13,13,94,79,1008.4,1005.2,8,7,24.3,28.8,"Yes","Yes"
"87229",87229,2008-12-29,"2008","diciembre",29,"Cairns",24.2,31.4,35,2.6,5.3,"NNE",28,NA,"N",0,17,78,73,1007.7,1004.6,8,7,28.3,29.5,"Yes","No"
"87230",87230,2008-12-30,"2008","diciembre",30,"Cairns",25.7,31.9,0,5,6,"N",28,"WNW","N",6,13,65,75,1007.2,1004.1,3,7,30.4,29.2,"No","Yes"
"87231",87231,2008-12-31,"2008","diciembre",31,"Cairns",23.2,30.1,54.8,8.2,2.3,"N",37,"WNW","NW",9,17,88,94,1007.3,1005.5,7,8,26.1,26,"Yes","Yes"
"87232",87232,2009-01-01,"2009","enero",1,"Cairns",23.6,31.4,15.8,4.6,3.4,"NNE",28,"E","N",4,19,77,70,1008.1,1005.6,7,6,28,30.1,"Yes","Yes"
"87233",87233,2009-01-02,"2009","enero",2,"Cairns",23.5,31.6,1.2,5.6,10.6,"NNE",28,"SE","NNE",9,11,68,70,1008.8,1006.8,3,6,30.1,30.5,"Yes","No"
"87234",87234,2009-01-03,"2009","enero",3,"Cairns",25,31.6,0,5.6,8.7,"NE",30,"SE","NE",9,13,68,70,1009.4,1007,7,7,30.8,30.2,"No","No"
"87235",87235,2009-01-04,"2009","enero",4,"Cairns",25.4,32.7,0.4,5.4,8,"ENE",28,"S","S",13,19,81,76,1009.3,1006.6,7,7,27.8,28.5,"No","No"
"87236",87236,2009-01-05,"2009","enero",5,"Cairns",25.1,31.6,0.8,5.4,2.9,"SE",33,"SSE","S",13,13,78,87,1008.4,1005.7,7,7,27.8,27,"No","Yes"
"87237",87237,2009-01-06,"2009","enero",6,"Cairns",24.3,32.4,7.4,4,8.8,"SE",35,"ESE","SE",2,24,80,63,1008.8,1004.4,8,8,28.1,31.1,"Yes","No"
"87238",87238,2009-01-07,"2009","enero",7,"Cairns",25.4,32.4,0,6.2,3,"S",30,"W","S",9,7,71,68,1007.8,1004.2,7,7,28.4,30.3,"No","No"
"87239",87239,2009-01-08,"2009","enero",8,"Cairns",24.7,31.4,0.2,4.4,6.8,"NE",31,"W","SW",9,6,71,67,1005.9,1003.2,8,7,29,30.3,"No","No"
"87240",87240,2009-01-09,"2009","enero",9,"Cairns",24.7,29.6,0.6,4.8,0.2,"S",44,"S","E",17,11,91,86,1005.3,1001.9,8,8,24.9,27.2,"No","Yes"
