"","ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"1",87201,2008-12-01,2008,"diciembre",1,"Cairns",25.2,32.3,0.4,4,6.4,"NE",31,"E","ENE",7,13,62,66,1011.3,1008.1,5,7,31.2,30.7,"No","Yes"
"2",87202,2008-12-02,2008,"diciembre",2,"Cairns",24.2,32.3,8.4,6.6,5.3,"NE",35,"S","NE",11,13,75,62,1011.9,1008,7,7,29,31.1,"Yes","No"
"3",87203,2008-12-03,2008,"diciembre",3,"Cairns",23.9,32.8,0.6,5.6,11.3,"SSE",31,"SSE","E",17,20,69,42,1012.2,1009.9,7,5,29.1,31.6,"No","No"
"4",87204,2008-12-04,2008,"diciembre",4,"Cairns",22.2,33.6,0,9.6,12.3,"SE",39,"SSE","ESE",19,24,60,31,1013.3,1010.9,2,1,29.6,32.5,"No","No"
"5",87205,2008-12-05,2008,"diciembre",5,"Cairns",23.2,33.5,0,11.6,11.8,"SE",43,"SSE","ESE",22,26,64,56,1013.8,1011,4,2,29.7,32.2,"No","No"
"6",87206,2008-12-06,2008,"diciembre",6,"Cairns",24.7,33.4,0,8.4,10.6,"NE",33,"SE","NE",15,20,64,67,1012.7,1009.2,1,2,30.8,31.5,"No","No"
"7",87207,2008-12-07,2008,"diciembre",7,"Cairns",23.9,32,0,8,9.2,"NNE",28,"NW","NE",7,17,70,73,1010.9,1007.1,2,3,29.3,30.6,"No","No"
"8",87208,2008-12-08,2008,"diciembre",8,"Cairns",26.6,33.2,0,8,7.2,"NNE",30,"NW","NNE",13,15,65,69,1009.8,1005.8,6,4,31.3,31.7,"No","Yes"
"9",87209,2008-12-09,2008,"diciembre",9,"Cairns",26.1,32.8,4.6,4.8,7.1,"NNE",28,"NE","N",9,13,72,77,1009.5,1006.9,7,7,30.8,30.2,"Yes","No"
"10",87210,2008-12-10,2008,"diciembre",10,"Cairns",26,32.6,0.2,5.8,4,"ENE",28,"ESE","NNE",15,11,80,72,1009.9,1007.5,7,7,28.9,29.5,"No","No"
"11",87211,2008-12-11,2008,"diciembre",11,"Cairns",25.3,32.9,0.4,5.4,12,"ENE",33,"ENE","NE",15,22,64,57,1010.6,1006.6,3,4,30.4,31.4,"No","No"
"12",87212,2008-12-12,2008,"diciembre",12,"Cairns",22.9,33.3,0,8.6,8.4,"ENE",31,"SSE","S",19,15,55,57,1010.5,1007.6,1,5,30.4,31.5,"No","No"
"13",87213,2008-12-13,2008,"diciembre",13,"Cairns",24.7,33,0,8,12.1,"NNE",30,"SE","NE",9,15,63,68,1009.5,1006.3,3,1,30.9,31.1,"No","No"
"14",87214,2008-12-14,2008,"diciembre",14,"Cairns",26.5,34.1,0,8,10.5,"N",37,"WNW","NNE",15,20,57,68,1007.2,1003.2,4,3,32.5,32.3,"No","Yes"
"15",87215,2008-12-15,2008,"diciembre",15,"Cairns",23.8,32.9,31.8,11.8,7.2,"S",35,"SW","N",4,17,79,74,1008.8,1005,7,5,26.3,30.5,"Yes","No"
"16",87216,2008-12-16,2008,"diciembre",16,"Cairns",25.5,33.9,0.2,5,7,"SSE",41,"SSE","SE",11,19,64,59,1009.8,1007.4,6,5,30.8,31.5,"No","No"
"17",87217,2008-12-17,2008,"diciembre",17,"Cairns",25.1,32.6,0,7.4,5.5,"ENE",37,"SSE","N",17,11,64,77,1011,1008.9,4,7,30.6,28,"No","Yes"
"18",87218,2008-12-18,2008,"diciembre",18,"Cairns",23.8,31.7,3.6,5,7.8,"SSE",28,"S","NNE",7,13,69,70,1010.7,1007.7,6,4,28.9,30.2,"Yes","No"
"19",87219,2008-12-19,2008,"diciembre",19,"Cairns",25.3,32.4,0,4.2,1.6,"N",24,"W","NE",9,9,71,69,1008.6,1006.8,7,7,28.7,29.9,"No","No"
