"","ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"117630",117630,2009-01-01,"2009","January",1,"PerthAirport",18.8,37.2,0,11.6,13.1,"E",56,"E","ENE",30,15,48,22,1011,1007.9,0,0,22.2,35,"No","No"
"117631",117631,2009-01-02,"2009","January",2,"PerthAirport",21.9,36.1,0,12.8,13.2,"E",59,"NE","W",11,20,39,31,1008.7,1007.9,0,1,27.5,33.9,"No","No"
"117632",117632,2009-01-03,"2009","January",3,"PerthAirport",20.3,34.4,0,11.8,12.7,"SSW",44,"S","W",17,24,57,34,1012.8,1010.7,4,1,23.5,33,"No","No"
"117633",117633,2009-01-04,"2009","January",4,"PerthAirport",18.5,36.5,0,11.2,13.3,"SE",39,"E","E",11,13,48,20,1017.1,1013.1,0,0,22.5,34.9,"No","No"
"117634",117634,2009-01-05,"2009","January",5,"PerthAirport",21.8,37.2,0,11.4,13.2,"E",57,"E","W",19,22,38,21,1014.7,1010.8,0,0,25.3,36.4,"No","No"
"117635",117635,2009-01-06,"2009","January",6,"PerthAirport",19.7,36.4,0,12,13.2,"WSW",43,"ESE","W",15,26,54,35,1014.5,1009.7,0,0,24.6,33.9,"No","No"
"117636",117636,2009-01-07,"2009","January",7,"PerthAirport",18.9,36.3,0,12,13.2,"E",52,"SE","SSE",15,17,50,23,1014.7,1011.1,1,1,23.1,34.3,"No","No"
"117637",117637,2009-01-08,"2009","January",8,"PerthAirport",20.3,37.2,0,10.8,13.2,"ESE",41,"ESE","SSE",15,13,48,24,1014.7,1011.4,0,0,24.2,36.3,"No","No"
"117638",117638,2009-01-09,"2009","January",9,"PerthAirport",19.1,37.1,0,12.6,13.3,"SW",46,"SSE","W",13,26,50,32,1015.7,1011.4,0,1,24.4,34.6,"No","No"
"117639",117639,2009-01-10,"2009","January",10,"PerthAirport",20.5,35.7,0,11.2,13.1,"SW",48,"ESE","SW",13,33,43,26,1013.1,1010.5,1,0,26,33.3,"No","No"
"117640",117640,2009-01-11,"2009","January",11,"PerthAirport",21.2,39.1,0,12,13.1,"SW",41,"ENE","WSW",20,20,41,15,1009.6,1005.4,0,0,25.6,38,"No","No"
"117641",117641,2009-01-12,"2009","January",12,"PerthAirport",13.5,28.4,0,11.4,11.3,"SW",57,"SW","WSW",24,35,54,52,1007.7,1009,1,6,23.8,26.6,"No","No"
"117642",117642,2009-01-13,"2009","January",13,"PerthAirport",10.3,26.9,0,9.4,11.2,"SW",48,"NNE","W",2,28,60,37,1017.8,1014.9,6,1,18.1,25,"No","No"
"117643",117643,2009-01-14,"2009","January",14,"PerthAirport",14.6,31.7,0,9.6,10.2,"W",37,"ESE","WSW",17,22,49,35,1017.5,1014.6,4,6,21.4,30,"No","No"
"117644",117644,2009-01-15,"2009","January",15,"PerthAirport",19,39.8,0,10.6,13.1,"E",72,"ENE","ESE",35,20,45,16,1016.4,1012,0,0,22.7,37.2,"No","No"
"117645",117645,2009-01-16,"2009","January",16,"PerthAirport",22.5,43,0,13.8,13.1,"NE",50,"NE","WNW",31,20,12,18,1011.1,1010.1,0,1,34,37.3,"No","No"
"117646",117646,2009-01-17,"2009","January",17,"PerthAirport",17.9,32.6,0,13.2,7.2,"W",41,"SW","SW",9,17,57,31,1015.5,1013.9,2,7,22.1,31.6,"No","No"
"117647",117647,2009-01-18,"2009","January",18,"PerthAirport",21.9,33.5,0,8.6,4.8,"SSE",46,"SSE","SSE",15,11,47,31,1015.2,1012,7,7,23.9,31,"No","Yes"
"117648",117648,2009-01-19,"2009","January",19,"PerthAirport",15.7,30,12.6,8,13.2,"E",72,"SSE","SSE",17,20,68,39,1016.8,1013.9,1,1,19.5,28,"Yes","No"
"117649",117649,2009-01-20,"2009","January",20,"PerthAirport",15.5,30.1,0,8,13,"SW",48,"E","SW",24,28,51,35,1018.6,1015,0,1,18.7,28.7,"No","No"
"117650",117650,2009-01-21,"2009","January",21,"PerthAirport",15.4,27.3,0,10,13,"SSW",43,"SSW","SW",17,30,63,42,1016.1,1013.5,1,4,20.1,26.6,"No","No"
"117651",117651,2009-01-22,"2009","January",22,"PerthAirport",18.7,28.7,0,8.6,11.1,"WSW",43,"S","WSW",15,24,67,48,1013.6,1011.6,7,1,21.5,28.2,"No","No"
"117652",117652,2009-01-23,"2009","January",23,"PerthAirport",20,28.9,0,9,10.7,"SW",39,"S","SW",20,24,71,50,1013.9,1011.7,7,1,21.8,27.8,"No","No"
"117653",117653,2009-01-24,"2009","January",24,"PerthAirport",13.1,31,0,7.6,13,"SW",39,"W","W",7,26,62,46,1013.8,1011.4,0,0,21.4,28.8,"No","No"
"117654",117654,2009-01-25,"2009","January",25,"PerthAirport",17,38.6,0,9.6,13.2,"WSW",39,"ESE","W",13,15,28,18,1012.4,1008,0,0,25.3,38,"No","No"
"117655",117655,2009-01-26,"2009","January",26,"PerthAirport",17.5,30.8,0,10,13,"W",37,"NW","W",6,24,74,54,1007.8,1008.3,1,1,23.6,27.1,"No","No"
"117656",117656,2009-01-27,"2009","January",27,"PerthAirport",17.1,34.5,0,8.8,12.6,"SSW",48,"SE","SSW",9,20,61,34,1008.2,1004.2,2,6,23.3,33.8,"No","No"
"117657",117657,2009-01-28,"2009","January",28,"PerthAirport",21.7,31.2,0,10.4,6.5,"WSW",43,"SE","SW",11,19,71,51,1003.9,1001.2,7,4,23.3,30,"No","No"
