"ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
30177,2008-02-01,"2008","February",1,"Sydney",19.5,22.4,15.6,6.2,0,"unkn",NA,"S","SSW",17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,"Yes","Yes"
30178,2008-02-02,"2008","February",2,"Sydney",19.5,25.6,6,3.4,2.7,"unkn",NA,"W","E",9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,"Yes","Yes"
30179,2008-02-03,"2008","February",3,"Sydney",21.6,24.5,6.6,2.4,0.1,"unkn",NA,"ESE","ESE",17,2,88,86,1016.7,1015.6,7,8,23.5,23,"Yes","Yes"
30180,2008-02-04,"2008","February",4,"Sydney",20.2,22.8,18.8,2.2,0,"unkn",NA,"NNE","E",22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,"Yes","Yes"
30181,2008-02-05,"2008","February",5,"Sydney",19.7,25.7,77.4,NA,0,"unkn",NA,"NNE","W",11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,"Yes","Yes"
30182,2008-02-06,"2008","February",6,"Sydney",20.2,27.2,1.6,2.6,8.6,"unkn",NA,"W","ENE",9,22,69,62,1002.7,998.6,6,6,23.8,26,"Yes","Yes"
30183,2008-02-07,"2008","February",7,"Sydney",18.6,26.3,6.2,5.2,5.2,"unkn",NA,"W","S",15,15,75,80,999,1000.3,4,7,21.7,22.3,"Yes","Yes"
30184,2008-02-08,"2008","February",8,"Sydney",17.2,22.3,27.6,5.8,2.1,"unkn",NA,"S","SE",7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,"Yes","Yes"
30185,2008-02-09,"2008","February",9,"Sydney",16.4,20.8,12.6,4.8,3,"unkn",NA,"SSW","W",19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,"Yes","Yes"
30186,2008-02-10,"2008","February",10,"Sydney",14.6,24.2,8.8,4.4,10.1,"unkn",NA,"W","SSE",11,20,80,53,1014,1013.4,4,2,17.2,23.3,"Yes","No"
