"","ID","Date","Year","Month","Day","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"12068",12068,2009-01-01,"2009","January",1,"Moree",16.4,38.7,0,12.2,9.3,"NW",54,"N","WNW",15,28,27,11,1005.5,1003.3,6,8,28.9,37.4,"No","No"
"12069",12069,2009-01-02,"2009","January",2,"Moree",22.3,30.3,0,11.2,3,"NNE",30,"NNE","N",19,15,68,40,1009.5,1009,6,7,25.2,29.4,"No","No"
"12070",12070,2009-01-03,"2009","January",3,"Moree",21.2,33.3,0,6.2,11.7,"ENE",46,"ENE","ENE",22,22,57,31,1014.9,1012.2,6,5,24.5,32.7,"No","No"
"12071",12071,2009-01-04,"2009","January",4,"Moree",16.4,33.5,0,11.2,13.3,"ENE",39,"NE","ENE",20,20,51,28,1016.9,1012.2,1,3,22.9,31.9,"No","No"
"12072",12072,2009-01-05,"2009","January",5,"Moree",19.2,34.5,0,12.6,13.4,"SE",35,"ENE","S",19,11,44,22,1015.1,1010.6,1,6,24.2,32.9,"No","No"
"12073",12073,2009-01-06,"2009","January",6,"Moree",21.3,36.8,0,10.8,12.4,"SSE",33,"NNE","NE",24,9,54,26,1013.6,1009.1,1,5,25.4,34.6,"No","No"
"12074",12074,2009-01-07,"2009","January",7,"Moree",22.2,34.5,0,10,7.6,"NNE",39,"NNE","N",26,7,56,23,1012.7,1008.5,7,7,25.2,32.5,"No","No"
"12075",12075,2009-01-08,"2009","January",8,"Moree",23.7,36.4,0,8.6,7.7,"ENE",46,"NNE","ENE",24,9,46,31,1009.6,1007,7,5,26.3,34.3,"No","No"
"12076",12076,2009-01-09,"2009","January",9,"Moree",20.4,34.3,0,12,6.8,"SSW",69,"E","SE",26,7,53,31,1011.2,1008,5,5,26.3,32.1,"No","Yes"
"12077",12077,2009-01-10,"2009","January",10,"Moree",16,32.1,9.2,9.8,9.6,"SW",76,NA,"N",NA,9,51,29,1012,1007.3,2,5,21.1,30.4,"Yes","Yes"
"12078",12078,2009-01-11,"2009","January",11,"Moree",18.2,33,3.4,8.6,11.8,"SW",76,"NNE","NNE",24,13,56,37,1011.2,1008,1,5,22.5,30.3,"Yes","No"
"12079",12079,2009-01-12,"2009","January",12,"Moree",21.5,34.6,0,8,9.8,"ENE",41,"NNE","NE",26,11,55,26,1013.3,1010.1,5,5,25.5,33.7,"No","No"
"12080",12080,2009-01-13,"2009","January",13,"Moree",21.2,35.9,0,10.4,13.1,"ENE",43,"ENE","E",19,15,47,19,1016.3,1012.3,1,3,25.4,34.3,"No","No"
"12081",12081,2009-01-14,"2009","January",14,"Moree",19.5,35,0,13.4,13.2,"NE",39,"NE","NE",24,11,47,24,1016.8,1012.7,1,1,24.3,33,"No","No"
"12082",12082,2009-01-15,"2009","January",15,"Moree",20.5,36.1,0,12.2,13.2,"NNE",43,"NNE","NNE",30,11,48,24,1015.5,1011.4,0,1,24.4,33.2,"No","No"
"12083",12083,2009-01-16,"2009","January",16,"Moree",21.1,40.1,0,12.8,12.9,"WSW",48,"N","NW",22,17,32,15,1011.5,1007.6,2,3,28.1,38.2,"No","No"
"12084",12084,2009-01-17,"2009","January",17,"Moree",15,35.6,0,16.8,13.3,"E",57,"SSE","WSW",9,24,32,11,1011.7,1009.4,0,1,25.6,34.2,"No","No"
"12085",12085,2009-01-18,"2009","January",18,"Moree",18.5,33.3,0,13.8,12.2,"ENE",48,"NE","E",24,11,51,36,1018.1,1014.4,5,4,22.4,30.7,"No","No"
"12086",12086,2009-01-19,"2009","January",19,"Moree",19.7,31.6,0,12.2,3.7,"NE",52,"NE","N",30,17,52,35,1017.8,1013.4,8,8,22.5,30.7,"No","No"
"12087",12087,2009-01-20,"2009","January",20,"Moree",22.1,33.6,0,10.4,5.2,"NNE",44,"NNE","N",30,11,48,29,1016.6,1012.7,7,6,24.6,32.2,"No","No"
"12088",12088,2009-01-21,"2009","January",21,"Moree",23.8,32.5,0,8.8,0.7,"SSW",76,"NE","N",28,11,54,36,1014.8,1011.7,8,8,25.1,31.3,"No","Yes"
"12089",12089,2009-01-22,"2009","January",22,"Moree",20.5,24.5,47.6,9.2,0,"NNE",48,"NE","NNE",26,31,97,95,1012.4,1009.3,8,8,21.1,22.5,"Yes","Yes"
"12090",12090,2009-01-23,"2009","January",23,"Moree",21.1,32.1,23,1.6,6.8,"NE",22,"NNE","N",13,9,86,54,1011.4,1008.7,7,5,24.3,31.2,"Yes","No"
"12091",12091,2009-01-24,"2009","January",24,"Moree",23.2,35.5,0,5.2,10.9,"NNE",28,"N","WNW",15,11,79,47,1010.1,1007.4,5,7,27,34.2,"No","No"
"12092",12092,2009-01-25,"2009","January",25,"Moree",24.4,36,0,8,9,"SW",57,"NNE","NNE",13,37,68,48,1011.1,1009.5,5,5,28.8,32.7,"No","Yes"
"12093",12093,2009-01-26,"2009","January",26,"Moree",22.7,34.4,5.4,7.2,13.1,"SE",43,"NE","ESE",22,9,69,46,1015.7,1012.8,2,5,27,33.3,"Yes","No"
